SLC mid9poppy,Guile,211120,Japan,2551104
あーるゆーおー,JP,211047,Macedonia,1129370
FlawlessDeku,Luke,211004,United Kingdom,1826688
でるぴえろ,JP,210988,Japan,703665
tomoecunha,JP,210976,Portugal,1225012
FoxRain,Juri,210940,South Korea,1137406
mohumohu-k-dama,Zangief,210909,Japan,1116177
isniffglue69-pc,Dhalsim,210860,Australia,1869396
John Doe,Dhalsim,210777,Japan,1209100
ジャグタロ,Dee Jay,210754,Japan,1024703
SSSS.YOMIAZENON,Edmond Honda,210734,Japan,1421425
おむすび,JP,210605,Japan,1609496
KongFuHustle,Juri,210519,United States,830215
Alphen,Cammy,210481,France,1820382
希【Nozomiru】,JP,210461,Japan,1172308
Makina_Twitch,JP,210447,Japan,1367655
のうひろ,Edmond Honda,210346,Japan,3034095
kenpi,Ken,210345,Japan,1272196
uemura,Blanka,210301,Japan,1384263
Tynahan,Cammy,210230,South Korea,872462
Freebee_Houney,Rashid,210211,Japan,1470353
owaechan,Chun-Li,210188,Japan,1604327
Li_NYC,Edmond Honda,210113,United States,1181554
ヱヰ(wewi),JP,210110,Japan,1245702
知性 | nega,Kimberly,210107,Japan,1042230
el jefe,Blanka,210098,United Kingdom,1654250
Linz,Guile,210040,Egypt,816496
けんます/twitch,Luke,209854,Japan,1324277
フミティー,Luke,209808,Japan,1246089
Darkdezzy,Manon,209741,United States,1096875
ふじわら,Luke,209709,Japan,1345390
Zé da Manga,JP,209682,Brazil,2023030
Snakehead,JP,209638,South Korea,1225338
KGSP_鹿児島県民,Lily,209610,Japan,1225441
DidimoKOF,Dhalsim,209584,Brazil,906652
のりきん,Juri,209277,Japan,1464643
Lazyboredom,Marisa,209247,United States,1353323
Grahmpa,Ryu,209105,United States,2011990
hige_22,Marisa,209066,Japan,2082268
GentlemanThief,Jamie,209056,United States,1446204
山田の隣,Rashid,209056,Japan,965402
冯宝宝01,Manon,209044,China,3001438
Jonathan Saitoh,Ken,208980,Japan,1135826
とほ@nekotail,Marisa,208867,Japan,1963066
SYG | Garnet,Dhalsim,208855,Italy,1094907
Micky,Luke,208845,Other,1235893
ミッキーミキマウス,JP,208723,Japan,1672416
BlkWolverineTTV,JP,208626,United States,1407639
KEY_,Edmond Honda,208540,Japan,1646105
hiro2,Blanka,208452,Japan,874658
村田源二郎,Dee Jay,208433,Japan,813516
Canontree,Zangief,208351,South Korea,1282280
ImSpaceBoy,Luke,208171,United States,554184
ブッチンダ,Dee Jay,208169,Japan,982310
え～こちら現在沼、助けて,Jamie,208157,Japan,1625658
shouma_p5,Guile,208077,Japan,1233392
TANAKA,Ken,208006,Japan,1104040
LUCKYBOY,Dhalsim,207704,China,1085268
EMPEROR_FLAPPY,Luke,207667,United States,1150141
DEMON,Juri,207667,Other,1466764
Deznere,Kimberly,207598,United States,2178169
Eva Heinemann,Chun-Li,207526,Japan,2131810
みぜんぜんぜんぜんぜんぜんぜん,Juri,207509,Japan,830846
无知者无畏,Kimberly,207467,China,1149366
烧焦的火  (╬￣皿￣),Luke,207400,China,1331305
HISAKIN,Ryu,207373,Japan,2986709
じぇいTTV,Manon,207120,Japan,1027219
Jackie-zhu,Dhalsim,207110,China,1391042
Senbozakula,Chun-Li,207081,Malaysia,592532
メンヘラ躁鬱,JP,207063,Japan,1484140
Pinch Hopper,Cammy,207014,Other,1319451
wisteria,Rashid,206986,Japan,1299462
Ushy,Dee Jay,206949,Japan,1437425
WD_SHRASEC,JP,206947,Other,2731480
Koutaro,Chun-Li,206864,Japan,968052
Kilzyou,Cammy,206713,France,1290266
らんぱーど,Manon,206626,Japan,1001333
ブリッツ与作,Kimberly,206575,Japan,1851409
GRILLKING,Dhalsim,206507,South Korea,2783513
ひぐち！,Guile,206443,Japan,1020920
Combofriend,Luke,206384,United States,1035878
Rabisco,Zangief,206370,Brazil,1277254
kuroko_555,Manon,206360,Japan,1166229
首領ドラモンド,Edmond Honda,206276,Japan,2111295
Yome,Juri,206268,South Korea,1191422
arcadeRat,JP,206265,El Salvador,918861
シンゴ45,Dee Jay,206171,Japan,2455513
PimbusTheWizard,Zangief,206167,United States,1088409
わびいち,Luke,206128,Japan,1323104
UMA327_PC,Juri,206083,Other,453767
もっちゃん,JP,205950,Japan,1105455
END-MAME,Cammy,205943,Japan,895838
sorceria,Juri,205844,Japan,1096941
Suleymon,Kimberly,205824,United Kingdom,935554
airjordan43,Blanka,205774,United States,1436539
gain,JP,205759,Japan,1335923
Nephren3,Cammy,205755,Japan,1227493
CapsuleHero,Manon,205717,United States,1451175
かっこう,JP,205656,Japan,1336827
河原和音信者,Ken,205641,Japan,421548
バイトリーダー,Juri,205578,Japan,1015530
kei5000,Manon,205571,Japan,2401658
chiakiman GG,Luke,205310,Japan,1101226
cheems jr,Manon,205290,Mexico,988791
Murkumo,Luke,205193,Japan,1895874
chako,Cammy,205190,Japan,2596241
trashbox,Marisa,205187,Japan,1075296
ココ世田谷,Marisa,205069,Japan,1423063
息苦しいよ,Juri,205062,Japan,1513436
ぷろさん,Dee Jay,205039,Japan,1501591
やんばる,Zangief,205000,Japan,1237111
ZydaniFGC,A.K.I.,204931,Brazil,1732576
IriamGames,Ken,204850,Mexico,1891526
しこたま,Juri,204840,Japan,1447909
Milinkon,Marisa,204829,Japan,1396273
toshi-serie,Cammy,204828,Japan,914792
知性 | ろぜろぜ真紅(本物),A.K.I.,204707,Japan,1631517
sasayama6,Dee Jay,204624,Japan,2146200
冴羽777,JP,204620,Japan,1668360
swkentaro,Ken,204487,Japan,2020774
Quiggy,Zangief,204478,United Kingdom,1598089
harideshi,Lily,204460,Japan,1125673
chuchuzera01,Chun-Li,204412,Brazil,991749
Re:Dive,Dee Jay,204396,Japan,727216
LinLin,JP,204365,Other,1132857
Arma,Dee Jay,204274,Panama,1410221
nyowabla,Lily,204221,Japan,1798317
KuriManju,Luke,204114,Japan,1008941
Lifeontheedge,Luke,204099,Japan,1331314
Shotaro,Ken,204028,Japan,1789645
Phantom02,JP,203977,China,628869
yasuto,Manon,203924,Japan,1065284
Hyoujun,Ken,203814,Japan,702999
DR-Wendson,JP,203801,Brazil,935040
Nelson,Dee Jay,203791,United States,3439265
doskonnbu,Rashid,203758,Japan,691884
Dtaro,Luke,203672,Japan,638799
ヤンマー_twitch,Juri,203643,Japan,1435453
TensionPP,Cammy,203547,Other,4548337
つみれちゃん,Lily,203470,Japan,882161
ミスタディー,JP,203459,Japan,714702
Fluddz,Manon,203413,United States,1103257
Jho-GoForBroke,Chun-Li,203388,Brazil,1559520
AE湯加減,Chun-Li,203379,Japan,3026587
popo,Marisa,203367,Japan,1630884
HIDE0815,Ken,203356,Japan,1156763
Lacquer_Head210,Ken,203338,United States,1330370
DestroyGodz,Guile,203309,Panama,1258355
kira,Juri,203231,Japan,2175289
kyoku,Juri,203158,Japan,909941
†まりを†,Manon,203017,Japan,960921
otaniBC,Luke,203001,Japan,1795176
